idArticle;refERP;description;length;width;heigth;weigth;category;unityOfMeasure;rateOfConversion;grossPrice;buyPrice
36;073735630;Fundo Plano, rettangolare, scarico centrale;1200;900;65;0;T;pc;1;676.12;211.96
37;073735631;Fundo Plano, rettangolare, scarico centrale;1200;900;65;0;T;pc;1;676.12;211.96
38;073735620;Fundo Plano, rettangolare, scarico centrale;1400;900;65;0;T;pc;1;692.4;221.42
39;073735621;Fundo Plano, rettangolare, scarico decentrato;1600;1000;65;0;T;pc;1;718.45;229.42
40;075900005;Fundo integro scarico centrale, raccordo lato corto;1200;900;90;0;T;pc;1;712.4;223.33
41;075900006;Fundo integro scarico centrale, raccordo lato lungo;1200;900;90;0;T;pc;1;712.4;223.33
42;075900000;Fundo integro scarico decentrato;1200;900;90;0;T;pc;1;712.4;223.33
43;075900001;Fundo integro scarico decentrato;1400;900;90;0;T;pc;1;729.54;233.29
44;075900002;Fundo integro scarico decentrato;1600;900;90;0;T;pc;1;756.99;242.06
45;075900003;Fundo integro scarico decentrato;1800;900;90;0;T;pc;1;766.45;245.1
46;073737001;wedi pendenza 1 Fundo Primo ;600;1200;40;0;T;pc;1;72.16;26.75
47;073737002;wedi pendenza 2 Fundo Primo ;600;1200;46;0;T;pc;1;73.48;27.25
48;073732011;Fundo LIGNO, piatto doccia filo/ quadrato, scarico centrale;900;900;20;0;T;pc;1;299.84;93.38
49;073732021;Fundo LIGNO, piatto doccia filo/ quadrato, scarico decentrato;900;900;20;0;T;pc;1;299.84;93.38
50;073732022;Fundo LIGNO, piatto doccia filo/ rettangolare-scarico decentrato;1200;900;20;0;T;pc;1;320.95;100.2
51;073732012;Fundo LIGNO, piatto doccia filo/ quadrato, scarico centrale;1200;1200;20;0;T;pc;1;342.09;106.89
52;073732023;Fundo LIGNO, piatto doccia filo/ quadrato, scarico decentrato;1200;1200;20;0;T;pc;1;342.09;106.89
53;073732013;Fundo LIGNO, piatto doccia filo/ quadrato, scarico centrale;1500;1500;20;0;T;pc;1;399.1;124.17
54;073732024;Fundo LIGNO, piatto doccia filo/ rettangolare-scarico decentrato;1600;900;20;0;T;pc;1;363.2;117.15
55;073735576;Fundo Borgo, piatto doccia tondo, scarico decentrato;900;900;40;0;T;pc;1;325.72;90.22
56;073736576;Fundo Borgo, piatto doccia tondo, scarico decentrato;1000;1000;40;0;T;pc;1;351.79;97.45
57;073736575;Fundo Trollo, piatto doccia rotondo scarico centrale;1140;0;0;0;T;pc;1;534.63;148.09
58;041709002;Fundo Trollo, solo pareti ;1100;1100;2015;0;T;pc;1;1562.91;450.95
59;041709052;Fundo Trollo, elemento di rialzo;500;0;0;0;T;pc;1;439.24;126.74
60;041709003;Fundo Trollo libero, solo pareti;1100;1100;2015;0;T;pc;1;1754.13;495.05
61;041709053;Fundo Trollo libero, elemento di rialzo;500;0;0;0;T;pc;1;490.83;141.62
62;073736065;Fundo Nautilo, piatto doccia spirale, entrata a sinstra ;1890;1515;50;0;T;pc;1;953.27;264.05
63;073736066;Fundo Nautilo, piatto doccia spirale, entrata a destra;1890;1515;50;0;T;pc;1;953.27;264.05
64;041708000;Fundo Nautilo, Solo pareti;2015;0;0;0;T;pc;1;2740.93;790.83
65;041708052;Fundo Nautilo, elemento di rialzo;500;0;0;0;T;pc;1;690.25;199.16
66;041708002;Fundo Nautilo libero, Solo pareti;2015;0;0;0;T;pc;1;3049.22;886.05
67;041708053;Fundo Nautilo libero, elemento di rialzo;500;0;0;0;T;pc;1;796.23;229.73
68;073743010;Sistema per sottostrutture per piatti con scarico lineare o puntuale;900;900;0;0;TA;pc;1;69;20.66
69;073743011;Sistema per sottostrutture per piatti con scarico lineare o puntuale;1200;1200;0;0;TA;pc;1;99;24.17
70;073743012;Sistema per sottostrutture per piatti con scarico lineare o puntuale;1500;1500;0;0;TA;pc;1;129;27.67
71;073732090;wedi Fundo, elemento sottotruttura per scarico;338;338;82;0;TA;pc;1;51.11;18.36
72;676800033;Fino 1.1, griglia quadrata;115;115;5;0;TG;pc;1;40.47;11.9
73;676800034;Fino 1.2, griglia rotonda;115;5;0;0;TG;pc;1;40.47;11.9
74;676800035;Fino 1.3, griglia quadrata avvitabile, incl telaio / supporto inox;115;115;5;0;TG;pc;1;84.05;24.72
75;676800037;Fino 2.1, griglia quadrata;115;115;5;0;TG;pc;1;40.47;11.9
76;676800038;Fino 2.2, griglia rotonda 115 5 mm;115;5;0;0;TG;pc;1;40.47;11.9
77;676800039;Fino 2.3, griglia quadrata avvitabile, incl telaio / supporto ino;115;115;5;0;TG;pc;1;84.05;24.72
78;676800040;Fino 3.1, griglia quadrata 115 115 5 mm;115;115;5;0;TG;pc;1;40.47;11.9
79;676800041;Fino 3.2, griglia rotonda 115 5 mm;115;5;0;0;TG;pc;1;40.47;11.9
80;676800042;Fino 3.3, griglia quadrata avvitabile, incl telaio / supporto ino;115;115;5;0;TG;pc;1;84.05;24.72
81;676800043;Fino 4.1, griglia quadrata massiccia  Exclusiv 115 115 5 mm;115;115;5;0;TG;pc;1;154.33;44.09
82;676800044;Fino 4.2, griglia rotonda massiccia Exclusiv 115 5 mm;115;5;0;0;TG;pc;1;154.33;44.09
83;676800046;Fino 5.1, griglia quadrata massiccia  Exclusiv 115 115 5 mm;115;115;5;0;TG;pc;1;154.33;44.09
84;676800052;Fino 6.1, griglia quadrata  115 115 3 mm;115;115;3;0;TG;pc;1;63.39;18.65
85;676800053;wedi Fundo griglia di scarico piastrellabile 7.1;115;115;5;0;TG;pc;1;154.33;49.55
86;077100003;Supporto Fino quadrato acciaio inox;120;120;10;0;TG;pc;1;54.02;15.88
87;077100004;Supporto Fino quadrato acciaio inox, extra piatto;120;120;6;0;TG;pc;1;76.68;22.55
88;077100001;Supporto Fino rotondo acciaio ino;120;9;0;0;TG;pc;1;54.02;15.88
89;077100002;Supporto Fino rotondo acciaio inox, extra piatto ;120;2;0;0;TG;pc;1;76.68;22.55
90;072010100;wedi Fundo Top scarico centrale (Fundo Primo 073735170);900;900;6;0;TR;pc;1;299;80.98
91;072010103;wedi Fundo Top scarico centrale (Fundo Primo 073735171);1200;1200;6;0;TR;pc;1;359;91.06
92;072010101;wedi Fundo Top scarico centrale (Fundo Primo 073735174);1200;900;6;0;TR;pc;1;319;87.36
93;072010102;wedi Fundo Top scarico decentrato (Fundo Primo 073736174);1200;900;6;0;TR;pc;1;319;87.36
94;072010106;wedi Fundo Top, scarico decentrato (Fundo Primo 073735150);1400;900;6;0;TR;pc;1;399;89.38
95;072010107;wedi Fundo Top, scarico decentrato (Fundo Primo 073735152);1600;1000;6;0;TR;pc;1;419;99.12
96;072010105;wedi Fundo Top scarico decentrato (Fundo Primo 073735180);1800;900;6;0;TR;pc;1;429;99.12
97;072010500;wedi Fundo Top, scarico centrale (Fundo Primo 073735170);900;900;0;0;TR;pc;1;299;80.98
98;072010503;wedi Fundo Top, scarico centrale (Fundo Primo 073735171);1200;1200;0;0;TR;pc;1;359;91.06
99;072010501;wedi Fundo Top, scarico centrale (Fundo Primo 073735174);1200;900;0;0;TR;pc;1;319;87.36
100;072010502;wedi Fundo Top, scarico decentrato (Fundo Primo 073736174);1200;900;0;0;TR;pc;1;319;87.36
101;072010504;wedi Fundo Top, scarico decentrato (Fundo Primo 073735150);1400;900;0;0;TR;pc;1;399;89.38
102;072010505;wedi Fundo Top, scarico decentrato (Fundo Primo 073735152);1600;1000;0;0;TR;pc;1;419;94.08
103;072010506;wedi Fundo Top, scarico decentrato (Fundo Primo 073735180);1800;900;0;0;TR;pc;1;429;99.12
